NOME,DESCRICAO,CATEGORIA,START,END,LINK,ID,
Calendário, calendário astronomico construído no egito,FÍSICA,-2400,,,,
Ciclo lunar, Astronomia maia descobre um período de 18.7 anos na órbita lunar.,FÍSICA,-750,,,,
Thales de Mileto, vários avanços matemáticos e previsão de uma eclipse solar,FÍSICA,-585,,,,
Anaxagoras, Explicação correta para eclipses,FÍSICA,-467,,,,
Zodíaco, Babilônios usam o zodíaco para dividir os céus,FÍSICA,-400,,,,
Aristarco, Aristarco de Samos cria método para determinação das distâncias do Sol e da Lua,FÍSICA,-310,-230,,,
Arquimedes,"Física, MATEMATICA, vários avanços",FÍSICA,-287,-212,,,
Eratostenes, Determinação do Raio da Terra,FÍSICA,-276,-194,,,
Cometa Halley, Primeira observação registrada do cometa de Halley,FÍSICA,-240,,,,
Hiparco, Catálogo de estrelas. Descoberta da precessão.,FÍSICA,-190,-120,,,
Ptolomeu, Catálogo de estrelas - modelo geocêntrico e epiciclos.,FÍSICA,-2,,,,
Sexagesimal, sistema de base 60 passa a ser utilizado na Babilônia,MATEMÁTICA,-2000,,,,
Papiro Rhind, cálculo do valor de π como 3.16,MATEMÁTICA,-1650,,,,
Zhang Sui, Primeira tabela de tangentes,MATEMÁTICA,-721,,,,
Euclides,Euclides de Alexandria foi um matemático grego do século III a.C.,MATEMÁTICA,-330,-260,,,
Apolônio, Estudo das cônicas,MATEMÁTICA,-262,-198,,,
Sumérios, Civilização suméria se estabelece na Mesopotâmia,SOCIEDADE,-4500,,,,
Vale do Indo, Civilização do Vale do Indo se estabelece na Ásia Meridional,SOCIEDADE,-3300,,,,
Alto Egito, Unificação do Alto e Baixo Egito,SOCIEDADE,-3100,-200,,,
Mamutes, Última população de mamutes na Ilha Wrangel,SOCIEDADE,-2500,,,,
China, Civilização chinesa se estabelece,SOCIEDADE,-2100,,,,
Maias, Civilização maia se estabelece na Mesoamérica,SOCIEDADE,-2000,,,,
Babilônios, Civilização babilônica se estabelece na Mesopotâmia,SOCIEDADE,-1894,,,,
Idade do Ferro, Uso do ferro se espalha,SOCIEDADE,-1100,,,,
Cidades-estado gregas, Ascensão das cidades-estado gregas,SOCIEDADE,-800,,,,
Jogos Olímpicos, Início da idade clássica. Primeiros Jogos Olímpicos registrados,SOCIEDADE,-776,,,,
Buddha,"Nascimento de Siddhartha Gautama (Buda), fundador do Budismo",SOCIEDADE,-563,,,,
Império Persa, Império Persa se torna uma potência mundial,SOCIEDADE,-550,,,,
Parmênides,Parmênides foi um filósofo grego do século V a.C.,SOCIEDADE,-515,-460,,,
Platão,Platão foi um filósofo grego do século IV a.C.,SOCIEDADE,-428,-348,,,
Aristóteles,Aristóteles foi um filósofo grego do século IV a.C.,SOCIEDADE,-384,-322,,,
Alexandre o Grande,"Alexandre o Grande derrota Dario III da Pérsia na Batalha de Gaugamela, completando a conquista da Pérsia",SOCIEDADE,-356,-323,,,
Roma conquista a Grécia, Conquista romana da Grécia,SOCIEDADE,-146,,,,
Império Romano, Império Romano se torna uma potência mundial,SOCIEDADE,-27,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Copernico,Nicolau Copérnico foi um astrônomo e matemático polonês que desenvolveu a teoria heliocêntrica do Sistema Solar.,,1473,1543,,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Nikolaus_Kopernikus.jpg/960px-Nikolaus_Kopernikus.jpg
Tycho Brahe,"um astrônomo dinamarquês. Teve um observatório chamado Uranienborg na ilha de Ven, no Öresund, entre a Dinamarca e a Suécia",,1546,1601,,,https://upload.wikimedia.org/wikipedia/commons/2/2b/Tycho_Brahe.JPG
Kepler,Astrônomo e matemático alemão.,,1571,1630,,,https://www3.unicentro.br/petfisica/wp-content/uploads/sites/54/2015/12/Kepler-e1677336701171.jpg
Galileo,,,1564,1642,,,https://upload.wikimedia.org/wikipedia/commons/d/d4/Justus_Sustermans_-_Portrait_of_Galileo_Galilei%2C_1636.jpg
Newton,,,1643,1727,,,https://upload.wikimedia.org/wikipedia/commons/f/f7/Portrait_of_Sir_Isaac_Newton%2C_1689_%28brightened%29.jpg
Halley,,,1656,1742,,,https://upload.wikimedia.org/wikipedia/commons/7/77/Edmund_Halley.gif
Madhava,,,,,,,
Tartaglia,,,,,,,
Cardano,,,,,,,
Bombelli,,,,,,,
Fermat,,,,,,,
Pascal,,,,,,,
Leibniz,,,,,,,
Euler,,,,,,,
Lagrange,,,,,,,
Bernoulli,,,,,,,
,,,,,,,
,,,,,,,
,"1440–1469: Under Moctezuma I, the Aztecs become the dominant power in Mesoamerica.",,,,,,
,1453: The Fall of Constantinople marks the end of the Byzantine Empire and the death of the last Roman Emperor Constantine XI and the beginning of the Classical Age of the Ottoman Empire.,,,,,,
,1492: Christopher Columbus landed in the Americas from Spain.,,,,,,
,1493: Leonardo da Vinci creates the first known design for a helicopter.,,,,,,
,1494: Spain and Portugal sign the Treaty of Tordesillas and agree to divide the World outside of Europe between themselves.,,,,,,
,Michelangelo,,,,,,
,Johannes Gutenberg advances the printing press in Europe (c. 1455),,,,,,
,1517: The Reformation begins when Martin Luther posts his Ninety-five Theses in Saxony.,,,,,,
,1527: Sack of Rome with Pope Clement VII escaping and the Swiss Guards defending the Vatican being killed. The sack of the city of Rome considered the end of the Italian Renaissance.,,,,,,
,1558–1603: The Elizabethan era is considered the height of the English Renaissance.,,,,,,
,1564: William Shakespeare baptized 26 April,,,,,,
,"1582: Pope Gregory XIII issues the Gregorian calendar. The last day of the Julian calendar was Thursday, 4 October 1582 and this was followed by the first day of the Gregorian calendar, Friday, 15 October 1582",,,,,,
,1648: The Peace of Westphalia ends the Thirty Years' War and the Eighty Years' War and marks the ends of Spain and the Holy Roman Empire as major European powers.,,,,,,
